"LoaiSo","TenSo","ChuGiai","FileName","ID"
"CẦU AN","Hộ thai bảo đồng","An thần định thể","CAHoThaiBaoDong","47"
"CẦU AN","Tôn hương bản mệnh","Thần thông đệ nhất","CATonHuongBanMenh","48"
"CẦU TỨ PHỦ","Đức ông","Tối tú tối linh","CTPDucOng","33"
"CẦU TỨ PHỦ","Ngũ hổ","Nhân vi vạn vật","CTPNguHo","34"
"CẦU TỨ PHỦ","Sớ hầu hán văn","Thánh nhân phi diểu","CTPSoHauHanVan","49"
"CẦU TỨ PHỦ","Sớ vọng","Thánh đức nguy nguy","CTPSoVong","51"
"CẦU TỨ PHỦ","Sơn trang","Nhất phát thanh sơn","CTPSonTrang","50"
"CẦU TỨ PHỦ","Tán đồng trình trầu","Thánh trạch hoằng thâm","CTPTanDongTrinhTrau","52"
"CẦU TỨ PHỦ","Tứ phủ","Chí tôn chí đại","CTPTuPhu","53"
"CẦU TỨ PHỦ","Tứ Phủ Cầu Hôn","","CTPTuPhuCauHon","118"
"CẦU TỨ PHỦ","Tứ phủ cầu tài","Dụng lực do nhân","CTPTuPhuCauTai","54"
"CẦU TỨ PHỦ","Tứ phủ cầu tự","Thiên đạo chi đại","CTPTuPhuCauTu","55"
"CÚNG 49","Bách nhật","Tam tôn pháp tòa","C49BachNhat","35"
"CÚNG 49","Biểu Âm","Như lai thùy giáo","C49BieuAm","29"
"CÚNG 49","Cát táng","Pháp thân thường trụ","C49CatTang","30"
"CÚNG 49","Chiêu hồn","Truy tiến chiêu hồn","C49ChieuHon","36"
"CÚNG 49","Điệp Cấp","Kim tiên phổ độ","C49DiepCap","39"
"CÚNG 49","Điệp phục hồn","Khải kiến tam nhật","C49DiepPhucHon","40"
"CÚNG 49","Nhập Liệm","Như lai ứng thế","C49NhapLiem","41"
"CÚNG 49","Nhị thánh","Thiền thiên hạo đãng","C49NhiThanh","42"
"CÚNG 49","Phật Âm","","C49PhatAm","96"
"CÚNG 49","Thập điện","Bảo tòa nguy nga","C49ThapDien","43"
"CÚNG 49","Tiếp Linh","Khải kiến minh dương","C49TiepLinh","44"
"CÚNG 49","Trạng mã","Giới đương lệnh tiết","C49TrangMa","45"
"CÚNG 49","Triệu Linh","Kim tiên phổ độ","C49TrieuLinh","46"
"CÚNG PHẬT","Biểu Di Đà Tôn Sư","","Bieu_Di_Da_Ton_Su","102"
"CÚNG PHẬT","Cầu công danh - Cư quyết vị trị","Cư quyết vị trị","CPCauCongDanh_CuQuyetViTri","56"
"CÚNG PHẬT","Cầu công danh - Quốc gia dĩ khảo","Quốc gia dĩ khảo","CPCauCongDanh_QuocGiaDiKhao","57"
"CÚNG PHẬT","Cầu sự dĩ thành lễ tạ Phật","Tinh chiếu quang thiên","CPCauSuDiThanhLeTaPhat","60"
"CÚNG PHẬT","Cầu tài","Dụng lực do nhân","CPCauTai","58"
"CÚNG PHẬT","Cầu thi đỗ đạt","Y khoa dĩ đức","CPCauThiDoDat","61"
"CÚNG PHẬT","Cầu tự","Thiên đạo chi đại","CPCauTu","59"
"CÚNG PHẬT","Chúng sinh","Phật từ quảng đại","CPChungSinh","62"
"CÚNG PHẬT","Cúng cơm mới","Mạch huệ hoàng hoàng","CPCungComMoi","63"
